Energies(kcal/mol): TOTAL_SOLV -8.77203  POLAR_SOLV -10.2517  NONPOLAR_SOLV 1.47968
Energies(kcal/mol): TOTAL_SOLV -4.7892  POLAR_SOLV -9.97501  NONPOLAR_SOLV 5.18581
Energies(kcal/mol): TOTAL_SOLV -11.555  POLAR_SOLV -12.4497  NONPOLAR_SOLV 0.894704
Energies(kcal/mol): TOTAL_SOLV -5.82003  POLAR_SOLV -8.19294  NONPOLAR_SOLV 2.3729
Energies(kcal/mol): TOTAL_SOLV -3.91302  POLAR_SOLV -6.01501  NONPOLAR_SOLV 2.10199
Energies(kcal/mol): TOTAL_SOLV 0.368355  POLAR_SOLV -0.964069  NONPOLAR_SOLV 1.33242
Energies(kcal/mol): TOTAL_SOLV 1.91711  POLAR_SOLV 0.116755  NONPOLAR_SOLV 1.80036
Energies(kcal/mol): TOTAL_SOLV -6.0525  POLAR_SOLV -8.16683  NONPOLAR_SOLV 2.11433
Energies(kcal/mol): TOTAL_SOLV -1.43814  POLAR_SOLV -2.37537  NONPOLAR_SOLV 0.937223
Energies(kcal/mol): TOTAL_SOLV -7.08701  POLAR_SOLV -8.97255  NONPOLAR_SOLV 1.88553
Energies(kcal/mol): TOTAL_SOLV -5.05859  POLAR_SOLV -6.62548  NONPOLAR_SOLV 1.56689
Energies(kcal/mol): TOTAL_SOLV -2.26037  POLAR_SOLV -4.23546  NONPOLAR_SOLV 1.97509
Energies(kcal/mol): TOTAL_SOLV -5.59007  POLAR_SOLV -6.44261  NONPOLAR_SOLV 0.852541
Energies(kcal/mol): TOTAL_SOLV -0.995793  POLAR_SOLV -1.99867  NONPOLAR_SOLV 1.00288
Energies(kcal/mol): TOTAL_SOLV -9.36884  POLAR_SOLV -10.6123  NONPOLAR_SOLV 1.24349
Energies(kcal/mol): TOTAL_SOLV -9.0969  POLAR_SOLV -10.8555  NONPOLAR_SOLV 1.75862
Energies(kcal/mol): TOTAL_SOLV -0.461301  POLAR_SOLV -2.10223  NONPOLAR_SOLV 1.64093
Energies(kcal/mol): TOTAL_SOLV -1.86036  POLAR_SOLV -3.94764  NONPOLAR_SOLV 2.08727
Energies(kcal/mol): TOTAL_SOLV -5.60384  POLAR_SOLV -6.49609  NONPOLAR_SOLV 0.892254
Energies(kcal/mol): TOTAL_SOLV -1.69466  POLAR_SOLV -3.73722  NONPOLAR_SOLV 2.04256
Energies(kcal/mol): TOTAL_SOLV -4.12562  POLAR_SOLV -6.03064  NONPOLAR_SOLV 1.90502
Energies(kcal/mol): TOTAL_SOLV -2.27971  POLAR_SOLV -6.78297  NONPOLAR_SOLV 4.50326
Energies(kcal/mol): TOTAL_SOLV -4.13177  POLAR_SOLV -5.57189  NONPOLAR_SOLV 1.44013
Energies(kcal/mol): TOTAL_SOLV -9.99032  POLAR_SOLV -11.5853  NONPOLAR_SOLV 1.59502
Energies(kcal/mol): TOTAL_SOLV -2.6452  POLAR_SOLV -2.5569  NONPOLAR_SOLV -0.0883013
Energies(kcal/mol): TOTAL_SOLV -1.15513  POLAR_SOLV -3.23952  NONPOLAR_SOLV 2.0844
Energies(kcal/mol): TOTAL_SOLV -1.27871  POLAR_SOLV -2.95045  NONPOLAR_SOLV 1.67174
Energies(kcal/mol): TOTAL_SOLV -3.74133  POLAR_SOLV -5.87049  NONPOLAR_SOLV 2.12915
Energies(kcal/mol): TOTAL_SOLV -6.89382  POLAR_SOLV -8.32395  NONPOLAR_SOLV 1.43014
Energies(kcal/mol): TOTAL_SOLV -1.86693  POLAR_SOLV -3.28197  NONPOLAR_SOLV 1.41504
Energies(kcal/mol): TOTAL_SOLV -5.82115  POLAR_SOLV -10.6904  NONPOLAR_SOLV 4.86921
Energies(kcal/mol): TOTAL_SOLV -4.17152  POLAR_SOLV -9.40057  NONPOLAR_SOLV 5.22906
Energies(kcal/mol): TOTAL_SOLV -1.6603  POLAR_SOLV -2.46861  NONPOLAR_SOLV 0.808311
Energies(kcal/mol): TOTAL_SOLV -2.42886  POLAR_SOLV -4.28568  NONPOLAR_SOLV 1.85682
Energies(kcal/mol): TOTAL_SOLV -0.997901  POLAR_SOLV -2.17924  NONPOLAR_SOLV 1.18134
Energies(kcal/mol): TOTAL_SOLV -4.32733  POLAR_SOLV -6.65842  NONPOLAR_SOLV 2.33108
Energies(kcal/mol): TOTAL_SOLV 1.77219  POLAR_SOLV 0.0577048  NONPOLAR_SOLV 1.71449
Energies(kcal/mol): TOTAL_SOLV -10.298  POLAR_SOLV -10.8812  NONPOLAR_SOLV 0.583133
Energies(kcal/mol): TOTAL_SOLV -6.89413  POLAR_SOLV -7.98698  NONPOLAR_SOLV 1.09285
Energies(kcal/mol): TOTAL_SOLV -8.93437  POLAR_SOLV -10.3438  NONPOLAR_SOLV 1.40942
Energies(kcal/mol): TOTAL_SOLV -5.96434  POLAR_SOLV -7.46409  NONPOLAR_SOLV 1.49976
Energies(kcal/mol): TOTAL_SOLV -4.30169  POLAR_SOLV -6.32876  NONPOLAR_SOLV 2.02707
Energies(kcal/mol): TOTAL_SOLV -4.05535  POLAR_SOLV -6.15652  NONPOLAR_SOLV 2.10118
Energies(kcal/mol): TOTAL_SOLV 1.00132  POLAR_SOLV -0.449877  NONPOLAR_SOLV 1.45119
Energies(kcal/mol): TOTAL_SOLV -2.59741  POLAR_SOLV -2.6288  NONPOLAR_SOLV 0.0313958
Energies(kcal/mol): TOTAL_SOLV -12.9549  POLAR_SOLV -16.6724  NONPOLAR_SOLV 3.71748
Energies(kcal/mol): TOTAL_SOLV 0.543374  POLAR_SOLV -0.913973  NONPOLAR_SOLV 1.45735
Energies(kcal/mol): TOTAL_SOLV -3.56913  POLAR_SOLV -5.81036  NONPOLAR_SOLV 2.24123
Energies(kcal/mol): TOTAL_SOLV -6.11359  POLAR_SOLV -7.56093  NONPOLAR_SOLV 1.44734
Energies(kcal/mol): TOTAL_SOLV -4.80952  POLAR_SOLV -7.01205  NONPOLAR_SOLV 2.20253
Energies(kcal/mol): TOTAL_SOLV -2.36619  POLAR_SOLV -4.93211  NONPOLAR_SOLV 2.56592
Energies(kcal/mol): TOTAL_SOLV -8.56313  POLAR_SOLV -10.0181  NONPOLAR_SOLV 1.45495
Energies(kcal/mol): TOTAL_SOLV -0.406721  POLAR_SOLV -1.23295  NONPOLAR_SOLV 0.82623
Energies(kcal/mol): TOTAL_SOLV -0.60095  POLAR_SOLV -1.65049  NONPOLAR_SOLV 1.04954
Energies(kcal/mol): TOTAL_SOLV -12.1647  POLAR_SOLV -15.5465  NONPOLAR_SOLV 3.38181
Energies(kcal/mol): TOTAL_SOLV -4.22238  POLAR_SOLV -4.84582  NONPOLAR_SOLV 0.623442
Energies(kcal/mol): TOTAL_SOLV -8.91159  POLAR_SOLV -11.0292  NONPOLAR_SOLV 2.11761
Energies(kcal/mol): TOTAL_SOLV -2.3945  POLAR_SOLV -4.13244  NONPOLAR_SOLV 1.73795
Energies(kcal/mol): TOTAL_SOLV -0.314265  POLAR_SOLV -1.29019  NONPOLAR_SOLV 0.975921
Energies(kcal/mol): TOTAL_SOLV 1.94829  POLAR_SOLV 0.200412  NONPOLAR_SOLV 1.74788
Energies(kcal/mol): TOTAL_SOLV -20.4692  POLAR_SOLV -21.5723  NONPOLAR_SOLV 1.10316
Energies(kcal/mol): TOTAL_SOLV -4.98588  POLAR_SOLV -5.31058  NONPOLAR_SOLV 0.324699
Energies(kcal/mol): TOTAL_SOLV -5.57304  POLAR_SOLV -7.82464  NONPOLAR_SOLV 2.2516
Energies(kcal/mol): TOTAL_SOLV -4.0431  POLAR_SOLV -6.01383  NONPOLAR_SOLV 1.97073
Energies(kcal/mol): TOTAL_SOLV -1.01568  POLAR_SOLV -6.60939  NONPOLAR_SOLV 5.59372
Energies(kcal/mol): TOTAL_SOLV -3.18255  POLAR_SOLV -5.2279  NONPOLAR_SOLV 2.04535
Energies(kcal/mol): TOTAL_SOLV -16.9637  POLAR_SOLV -19.1465  NONPOLAR_SOLV 2.1828
Energies(kcal/mol): TOTAL_SOLV -5.35864  POLAR_SOLV -6.24936  NONPOLAR_SOLV 0.890721
Energies(kcal/mol): TOTAL_SOLV -0.858107  POLAR_SOLV -2.98104  NONPOLAR_SOLV 2.12293
Energies(kcal/mol): TOTAL_SOLV -1.90268  POLAR_SOLV -4.12776  NONPOLAR_SOLV 2.22508
Energies(kcal/mol): TOTAL_SOLV -1.56461  POLAR_SOLV -3.40779  NONPOLAR_SOLV 1.84318
Energies(kcal/mol): TOTAL_SOLV -5.68107  POLAR_SOLV -7.69247  NONPOLAR_SOLV 2.0114
Energies(kcal/mol): TOTAL_SOLV -1.82005  POLAR_SOLV -9.89444  NONPOLAR_SOLV 8.07439
Energies(kcal/mol): TOTAL_SOLV -9.50763  POLAR_SOLV -12.1389  NONPOLAR_SOLV 2.63125
Energies(kcal/mol): TOTAL_SOLV -2.22182  POLAR_SOLV -2.62703  NONPOLAR_SOLV 0.405202
Energies(kcal/mol): TOTAL_SOLV -2.39379  POLAR_SOLV -4.41252  NONPOLAR_SOLV 2.01874
Energies(kcal/mol): TOTAL_SOLV -10.839  POLAR_SOLV -11.9765  NONPOLAR_SOLV 1.13756
Energies(kcal/mol): TOTAL_SOLV -3.26484  POLAR_SOLV -5.50294  NONPOLAR_SOLV 2.2381
Energies(kcal/mol): TOTAL_SOLV -3.81621  POLAR_SOLV -5.81777  NONPOLAR_SOLV 2.00156
Energies(kcal/mol): TOTAL_SOLV -6.65567  POLAR_SOLV -7.7347  NONPOLAR_SOLV 1.07903
Energies(kcal/mol): TOTAL_SOLV -1.22872  POLAR_SOLV -6.90535  NONPOLAR_SOLV 5.67663
Energies(kcal/mol): TOTAL_SOLV -2.94054  POLAR_SOLV -4.22822  NONPOLAR_SOLV 1.28768
Energies(kcal/mol): TOTAL_SOLV 1.14154  POLAR_SOLV -0.335837  NONPOLAR_SOLV 1.47738
Energies(kcal/mol): TOTAL_SOLV -1.5939  POLAR_SOLV -2.28163  NONPOLAR_SOLV 0.687731
Energies(kcal/mol): TOTAL_SOLV -7.38816  POLAR_SOLV -9.55583  NONPOLAR_SOLV 2.16767
Energies(kcal/mol): TOTAL_SOLV -5.01318  POLAR_SOLV -7.17594  NONPOLAR_SOLV 2.16276
Energies(kcal/mol): TOTAL_SOLV -4.15015  POLAR_SOLV -5.58984  NONPOLAR_SOLV 1.4397
Energies(kcal/mol): TOTAL_SOLV 1.96612  POLAR_SOLV 0.144025  NONPOLAR_SOLV 1.8221
Energies(kcal/mol): TOTAL_SOLV -4.72627  POLAR_SOLV -6.1302  NONPOLAR_SOLV 1.40392
Energies(kcal/mol): TOTAL_SOLV -4.37928  POLAR_SOLV -6.01775  NONPOLAR_SOLV 1.63847
Energies(kcal/mol): TOTAL_SOLV -4.45279  POLAR_SOLV -6.11191  NONPOLAR_SOLV 1.65913
Energies(kcal/mol): TOTAL_SOLV -5.9366  POLAR_SOLV -6.90364  NONPOLAR_SOLV 0.967042
Energies(kcal/mol): TOTAL_SOLV -5.76214  POLAR_SOLV -5.77181  NONPOLAR_SOLV 0.00966837
Energies(kcal/mol): TOTAL_SOLV -2.90181  POLAR_SOLV -3.69887  NONPOLAR_SOLV 0.797059
Energies(kcal/mol): TOTAL_SOLV -0.735353  POLAR_SOLV -2.04762  NONPOLAR_SOLV 1.31227
Energies(kcal/mol): TOTAL_SOLV -10.1891  POLAR_SOLV -11.7701  NONPOLAR_SOLV 1.58099
Energies(kcal/mol): TOTAL_SOLV -3.74452  POLAR_SOLV -5.61457  NONPOLAR_SOLV 1.87005
Energies(kcal/mol): TOTAL_SOLV -3.00937  POLAR_SOLV -5.10677  NONPOLAR_SOLV 2.09739
Energies(kcal/mol): TOTAL_SOLV -9.67855  POLAR_SOLV -11.0139  NONPOLAR_SOLV 1.33535
Energies(kcal/mol): TOTAL_SOLV 3.15093  POLAR_SOLV -1.32095  NONPOLAR_SOLV 4.47188
Energies(kcal/mol): TOTAL_SOLV -5.61039  POLAR_SOLV -6.42241  NONPOLAR_SOLV 0.812016
Energies(kcal/mol): TOTAL_SOLV -3.95494  POLAR_SOLV -5.82065  NONPOLAR_SOLV 1.86571
Energies(kcal/mol): TOTAL_SOLV -3.26057  POLAR_SOLV -4.64866  NONPOLAR_SOLV 1.38809
Energies(kcal/mol): TOTAL_SOLV -4.10576  POLAR_SOLV -5.57461  NONPOLAR_SOLV 1.46886
Energies(kcal/mol): TOTAL_SOLV -2.22617  POLAR_SOLV -3.81243  NONPOLAR_SOLV 1.58626
Energies(kcal/mol): TOTAL_SOLV -4.78455  POLAR_SOLV -6.30173  NONPOLAR_SOLV 1.51718
Energies(kcal/mol): TOTAL_SOLV -10.4803  POLAR_SOLV -12.4571  NONPOLAR_SOLV 1.97679
Energies(kcal/mol): TOTAL_SOLV -3.24809  POLAR_SOLV -5.86979  NONPOLAR_SOLV 2.6217
Energies(kcal/mol): TOTAL_SOLV 2.12128  POLAR_SOLV 0.1626  NONPOLAR_SOLV 1.95868
Energies(kcal/mol): TOTAL_SOLV -4.21906  POLAR_SOLV -4.82553  NONPOLAR_SOLV 0.606471
Energies(kcal/mol): TOTAL_SOLV -2.30623  POLAR_SOLV -4.13878  NONPOLAR_SOLV 1.83255
Energies(kcal/mol): TOTAL_SOLV -11.0401  POLAR_SOLV -13.119  NONPOLAR_SOLV 2.0789
Energies(kcal/mol): TOTAL_SOLV 2.04389  POLAR_SOLV 0.151588  NONPOLAR_SOLV 1.8923
Energies(kcal/mol): TOTAL_SOLV -0.557443  POLAR_SOLV -1.94757  NONPOLAR_SOLV 1.39013
Energies(kcal/mol): TOTAL_SOLV -1.57229  POLAR_SOLV -3.09776  NONPOLAR_SOLV 1.52546
Energies(kcal/mol): TOTAL_SOLV -2.87981  POLAR_SOLV -4.11605  NONPOLAR_SOLV 1.23624
Energies(kcal/mol): TOTAL_SOLV -1.49027  POLAR_SOLV -2.17854  NONPOLAR_SOLV 0.688271
Energies(kcal/mol): TOTAL_SOLV -1.86054  POLAR_SOLV -3.78122  NONPOLAR_SOLV 1.92068
Energies(kcal/mol): TOTAL_SOLV -2.32153  POLAR_SOLV -3.35672  NONPOLAR_SOLV 1.03519
Energies(kcal/mol): TOTAL_SOLV -1.12949  POLAR_SOLV -2.14583  NONPOLAR_SOLV 1.01634
Energies(kcal/mol): TOTAL_SOLV -3.33274  POLAR_SOLV -5.79278  NONPOLAR_SOLV 2.46004
Energies(kcal/mol): TOTAL_SOLV -3.2961  POLAR_SOLV -3.60676  NONPOLAR_SOLV 0.310654
Energies(kcal/mol): TOTAL_SOLV -0.335206  POLAR_SOLV -2.10727  NONPOLAR_SOLV 1.77207
Energies(kcal/mol): TOTAL_SOLV -5.77645  POLAR_SOLV -6.45979  NONPOLAR_SOLV 0.683341
Energies(kcal/mol): TOTAL_SOLV -0.090564  POLAR_SOLV -0.179576  NONPOLAR_SOLV 0.0890123
Energies(kcal/mol): TOTAL_SOLV -0.186177  POLAR_SOLV -1.33705  NONPOLAR_SOLV 1.15088
Energies(kcal/mol): TOTAL_SOLV -8.95771  POLAR_SOLV -11.9072  NONPOLAR_SOLV 2.94951
Energies(kcal/mol): TOTAL_SOLV -0.825587  POLAR_SOLV -2.9834  NONPOLAR_SOLV 2.15781
Energies(kcal/mol): TOTAL_SOLV -8.98013  POLAR_SOLV -11.0061  NONPOLAR_SOLV 2.02594
Energies(kcal/mol): TOTAL_SOLV -10.405  POLAR_SOLV -13.1706  NONPOLAR_SOLV 2.76554
Energies(kcal/mol): TOTAL_SOLV -0.861474  POLAR_SOLV -2.89862  NONPOLAR_SOLV 2.03715
Energies(kcal/mol): TOTAL_SOLV -10.1554  POLAR_SOLV -10.9093  NONPOLAR_SOLV 0.753819
Energies(kcal/mol): TOTAL_SOLV -1.35047  POLAR_SOLV -2.07861  NONPOLAR_SOLV 0.728141
Energies(kcal/mol): TOTAL_SOLV -9.32999  POLAR_SOLV -13.2048  NONPOLAR_SOLV 3.8748
Energies(kcal/mol): TOTAL_SOLV -1.30709  POLAR_SOLV -2.33126  NONPOLAR_SOLV 1.02417
Energies(kcal/mol): TOTAL_SOLV -16.2593  POLAR_SOLV -21.0317  NONPOLAR_SOLV 4.77236
Energies(kcal/mol): TOTAL_SOLV -3.6334  POLAR_SOLV -5.62853  NONPOLAR_SOLV 1.99514
Energies(kcal/mol): TOTAL_SOLV -8.98937  POLAR_SOLV -9.33985  NONPOLAR_SOLV 0.350487
Energies(kcal/mol): TOTAL_SOLV -2.31544  POLAR_SOLV -2.21421  NONPOLAR_SOLV -0.101232
Energies(kcal/mol): TOTAL_SOLV -0.496949  POLAR_SOLV -1.89785  NONPOLAR_SOLV 1.4009
Energies(kcal/mol): TOTAL_SOLV -18.0809  POLAR_SOLV -24.2293  NONPOLAR_SOLV 6.14842
Energies(kcal/mol): TOTAL_SOLV -7.85879  POLAR_SOLV -9.85929  NONPOLAR_SOLV 2.0005
Energies(kcal/mol): TOTAL_SOLV -11.2853  POLAR_SOLV -12.619  NONPOLAR_SOLV 1.33375
Energies(kcal/mol): TOTAL_SOLV -1.51731  POLAR_SOLV -2.44597  NONPOLAR_SOLV 0.928658
Energies(kcal/mol): TOTAL_SOLV -18.5512  POLAR_SOLV -20.1586  NONPOLAR_SOLV 1.60737
Energies(kcal/mol): TOTAL_SOLV -4.69016  POLAR_SOLV -6.3383  NONPOLAR_SOLV 1.64814
Energies(kcal/mol): TOTAL_SOLV -10.2686  POLAR_SOLV -11.1297  NONPOLAR_SOLV 0.861125
Energies(kcal/mol): TOTAL_SOLV -3.32641  POLAR_SOLV -5.95127  NONPOLAR_SOLV 2.62486
Energies(kcal/mol): TOTAL_SOLV -2.20292  POLAR_SOLV -2.86  NONPOLAR_SOLV 0.65708
Energies(kcal/mol): TOTAL_SOLV -3.64128  POLAR_SOLV -4.68918  NONPOLAR_SOLV 1.0479
Energies(kcal/mol): TOTAL_SOLV -1.27005  POLAR_SOLV -3.31304  NONPOLAR_SOLV 2.04299
Energies(kcal/mol): TOTAL_SOLV -10.0594  POLAR_SOLV -10.4652  NONPOLAR_SOLV 0.405808
Energies(kcal/mol): TOTAL_SOLV -4.8491  POLAR_SOLV -6.47383  NONPOLAR_SOLV 1.62473
Energies(kcal/mol): TOTAL_SOLV -6.9509  POLAR_SOLV -7.61677  NONPOLAR_SOLV 0.665874
Energies(kcal/mol): TOTAL_SOLV -4.35381  POLAR_SOLV -5.92006  NONPOLAR_SOLV 1.56625
Energies(kcal/mol): TOTAL_SOLV -16.4779  POLAR_SOLV -18.8988  NONPOLAR_SOLV 2.42092
Energies(kcal/mol): TOTAL_SOLV -17.3514  POLAR_SOLV -18.1143  NONPOLAR_SOLV 0.762955
Energies(kcal/mol): TOTAL_SOLV 2.07438  POLAR_SOLV 0.170422  NONPOLAR_SOLV 1.90396
Energies(kcal/mol): TOTAL_SOLV -7.68902  POLAR_SOLV -9.8097  NONPOLAR_SOLV 2.12068
Energies(kcal/mol): TOTAL_SOLV -3.41639  POLAR_SOLV -5.56326  NONPOLAR_SOLV 2.14687
Energies(kcal/mol): TOTAL_SOLV -3.28915  POLAR_SOLV -4.45541  NONPOLAR_SOLV 1.16625
Energies(kcal/mol): TOTAL_SOLV -0.0598946  POLAR_SOLV -2.11724  NONPOLAR_SOLV 2.05734
Energies(kcal/mol): TOTAL_SOLV 1.1829  POLAR_SOLV -0.115001  NONPOLAR_SOLV 1.2979
Energies(kcal/mol): TOTAL_SOLV -11.9148  POLAR_SOLV -12.1534  NONPOLAR_SOLV 0.238604
Energies(kcal/mol): TOTAL_SOLV -3.19064  POLAR_SOLV -5.57826  NONPOLAR_SOLV 2.38762
Energies(kcal/mol): TOTAL_SOLV -10.0238  POLAR_SOLV -12.2466  NONPOLAR_SOLV 2.22277
Energies(kcal/mol): TOTAL_SOLV -5.17466  POLAR_SOLV -10.2466  NONPOLAR_SOLV 5.07199
Energies(kcal/mol): TOTAL_SOLV -5.08303  POLAR_SOLV -5.81907  NONPOLAR_SOLV 0.736038
Energies(kcal/mol): TOTAL_SOLV -5.52422  POLAR_SOLV -6.33794  NONPOLAR_SOLV 0.813717
Energies(kcal/mol): TOTAL_SOLV -3.99719  POLAR_SOLV -5.53839  NONPOLAR_SOLV 1.5412
Energies(kcal/mol): TOTAL_SOLV -0.678902  POLAR_SOLV -1.02326  NONPOLAR_SOLV 0.344353
Energies(kcal/mol): TOTAL_SOLV 2.68578  POLAR_SOLV 0.282952  NONPOLAR_SOLV 2.40283
Energies(kcal/mol): TOTAL_SOLV 7.10644  POLAR_SOLV -3.46512  NONPOLAR_SOLV 10.5716
Energies(kcal/mol): TOTAL_SOLV -0.760363  POLAR_SOLV -1.22329  NONPOLAR_SOLV 0.462925
Energies(kcal/mol): TOTAL_SOLV -2.86255  POLAR_SOLV -3.69584  NONPOLAR_SOLV 0.833284
Energies(kcal/mol): TOTAL_SOLV -3.88616  POLAR_SOLV -6.08655  NONPOLAR_SOLV 2.20039
Energies(kcal/mol): TOTAL_SOLV -7.3051  POLAR_SOLV -9.12162  NONPOLAR_SOLV 1.81652
Energies(kcal/mol): TOTAL_SOLV -0.939491  POLAR_SOLV -2.32778  NONPOLAR_SOLV 1.38829
Energies(kcal/mol): TOTAL_SOLV -0.703532  POLAR_SOLV -0.261134  NONPOLAR_SOLV -0.442398
Energies(kcal/mol): TOTAL_SOLV -1.68833  POLAR_SOLV -2.94327  NONPOLAR_SOLV 1.25494
Energies(kcal/mol): TOTAL_SOLV -14.978  POLAR_SOLV -15.8955  NONPOLAR_SOLV 0.917504
Energies(kcal/mol): TOTAL_SOLV 2.24805  POLAR_SOLV 0.205546  NONPOLAR_SOLV 2.04251
Energies(kcal/mol): TOTAL_SOLV -0.539327  POLAR_SOLV -1.9746  NONPOLAR_SOLV 1.43528
Energies(kcal/mol): TOTAL_SOLV -12.4413  POLAR_SOLV -13.35  NONPOLAR_SOLV 0.908666
