COMPONENT,DIPOLE,QUADRUPOLE,OCTUPOLE,TOTAL CORRECTION,POLAR,TIP3P POLAR,NONPOLAR,TIP3P NONPOLAR,POLAR+NONPOLAR,TIP3P,EXPT,ABS DIPOLE,ABS QUADRUPOLE,ABS OCTUPOLE,ABS TOTAL CORRECTION,ABS POLAR,ABS TIP3P POLAR,ABS NONPOLAR,ABS TIP3P NONPOLAR,ABS POLAR+NONPOLAR,ABS TIP3P,ABS EXPT,QUADRUPOLE rel DIPOLE,OCTUPOLE rel DIPOLE,TOTAL CORRECTION rel DIPOLE,NONPOLAR rel DIPOLE,POLAR rel TIP3P POLAR,NONPOLAR rel TIP3P NONPOLAR,POLAR+NONPOLAR rel TIP3P,POLAR+NONPOLAR rel EXPT,POLAR RMSD TIP3P POLAR,NONPOLAR RMSD TIP3P NONPOLAR,POLAR+NONPOLAR RMSD TIP3P,POLAR+NONPOLAR RMSD EXPT
ethyl_butanoate,-10.71,7.70,-0.68,7.03,-3.68,-5.51,0.77,2.13,-2.91,-3.38,-2.49,10.71,7.70,0.68,7.03,3.68,5.51,0.77,2.13,2.91,3.38,2.49,72%,6%,66%,7%,67%,36%,86%,117%,-,-,-,-
ethyl_hexanoate,-10.49,7.59,-0.72,6.86,-3.63,-5.35,0.50,2.42,-3.13,-2.93,-2.23,10.49,7.59,0.72,6.86,3.63,5.35,0.50,2.42,3.13,2.93,2.23,72%,7%,65%,5%,68%,21%,107%,141%,-,-,-,-
ethyl_pentanoate,-10.36,7.62,-0.76,6.86,-3.50,-5.33,0.51,2.22,-2.98,-3.11,-2.49,10.36,7.62,0.76,6.86,3.50,5.33,0.51,2.22,2.98,3.11,2.49,74%,7%,66%,5%,66%,23%,96%,120%,-,-,-,-
ethyl_propanoate,-10.23,7.51,-0.73,6.78,-3.46,-5.20,0.96,1.98,-2.50,-3.22,-2.68,10.23,7.51,0.73,6.78,3.46,5.20,0.96,1.98,2.50,3.22,2.68,73%,7%,66%,9%,67%,49%,78%,93%,-,-,-,-
fluorene,-5.22,2.03,-1.86,0.17,-5.05,-5.50,1.16,1.23,-3.89,-4.27,-3.35,5.22,2.03,1.86,0.17,5.05,5.50,1.16,1.23,3.89,4.27,3.35,39%,36%,3%,22%,92%,94%,91%,116%,-,-,-,-
imidazole,-13.72,6.86,-2.57,4.29,-9.44,-8.48,-1.71,0.51,-11.15,-7.97,-9.63,13.72,6.86,2.57,4.29,9.44,8.48,1.71,0.51,11.15,7.97,9.63,50%,19%,31%,12%,111%,339%,140%,116%,-,-,-,-
indane,-2.71,1.04,-0.94,0.10,-2.60,-3.21,1.26,1.46,-1.34,-1.75,-1.46,2.71,1.04,0.94,0.10,2.60,3.21,1.26,1.46,1.34,1.75,1.46,39%,35%,4%,47%,81%,87%,77%,92%,-,-,-,-
isobutyl_acetate,-10.24,7.66,-0.79,6.87,-3.37,-5.04,-0.28,2.14,-3.65,-2.90,-2.36,10.24,7.66,0.79,6.87,3.37,5.04,0.28,2.14,3.65,2.90,2.36,75%,8%,67%,3%,67%,13%,126%,155%,-,-,-,-
isopropyl_acetate,-10.92,7.83,-0.75,7.08,-3.84,-5.43,0.72,2.06,-3.12,-3.37,-2.64,10.92,7.83,0.75,7.08,3.84,5.43,0.72,2.06,3.12,3.37,2.64,72%,7%,65%,7%,71%,35%,92%,118%,-,-,-,-
isopropyl_formate,-10.51,7.85,-0.91,6.94,-3.57,-5.26,0.85,1.67,-2.72,-3.59,-2.02,10.51,7.85,0.91,6.94,3.57,5.26,0.85,1.67,2.72,3.59,2.02,75%,9%,66%,8%,68%,51%,76%,135%,-,-,-,-
m_cresol,-9.15,5.97,-3.66,2.31,-6.84,-6.91,1.11,1.53,-5.73,-5.38,-5.49,9.15,5.97,3.66,2.31,6.84,6.91,1.11,1.53,5.73,5.38,5.49,65%,40%,25%,12%,99%,73%,107%,104%,-,-,-,-
methane,-0.00,0.01,-0.01,-0.00,-0.01,0.00,1.82,2.44,1.81,2.45,2.00,0.00,0.01,0.01,0.00,0.01,0.00,1.82,2.44,1.81,2.45,2.00,225%,325%,100%,43334%,280%,75%,74%,91%,-,-,-,-
methylamine,-5.16,2.85,-1.97,0.88,-4.28,-5.29,0.02,1.71,-4.26,-3.58,-4.55,5.16,2.85,1.97,0.88,4.28,5.29,0.02,1.71,4.26,3.58,4.55,55%,38%,17%,0%,81%,1%,119%,94%,-,-,-,-
methyl_benzoate,-12.20,8.37,-1.85,6.53,-5.67,-6.11,-0.13,1.18,-5.80,-4.92,-3.92,12.20,8.37,1.85,6.53,5.67,6.11,0.13,1.18,5.80,4.92,3.92,69%,15%,54%,1%,93%,11%,118%,148%,-,-,-,-
methyl_butanoate,-10.75,7.88,-0.73,7.15,-3.60,-5.37,0.77,1.82,-2.83,-3.55,-2.83,10.75,7.88,0.73,7.15,3.60,5.37,0.77,1.82,2.83,3.55,2.83,73%,7%,66%,7%,67%,42%,80%,100%,-,-,-,-
methyl_cyclohexanecarboxylate,-10.13,6.81,-0.67,6.15,-3.98,-5.42,0.35,1.05,-3.63,-4.38,-3.30,10.13,6.81,0.67,6.15,3.98,5.42,0.35,1.05,3.63,4.38,3.30,67%,7%,61%,3%,73%,34%,83%,110%,-,-,-,-
methylcyclopentane,-0.02,0.05,-0.09,-0.04,-0.05,0.01,1.32,1.78,1.27,1.78,1.59,0.02,0.05,0.09,0.04,0.05,0.01,1.32,1.78,1.27,1.78,1.59,347%,589%,242%,8402%,671%,74%,71%,80%,-,-,-,-
methyl_cyclopropanecarboxylate,-10.97,8.04,-0.94,7.10,-3.86,-5.51,0.77,1.90,-3.09,-3.60,-4.10,10.97,8.04,0.94,7.10,3.86,5.51,0.77,1.90,3.09,3.60,4.10,73%,9%,65%,7%,70%,41%,86%,75%,-,-,-,-
methyl_cyclopropyl_ketone,-10.53,7.23,-0.71,6.51,-4.02,-5.26,-0.73,2.22,-4.75,-3.04,-4.61,10.53,7.23,0.71,6.51,4.02,5.26,0.73,2.22,4.75,3.04,4.61,69%,7%,62%,7%,76%,33%,156%,103%,-,-,-,-
methyl_pentanoate,-10.84,8.04,-0.75,7.30,-3.54,-5.46,0.58,1.97,-2.96,-3.49,-2.56,10.84,8.04,0.75,7.30,3.54,5.46,0.58,1.97,2.96,3.49,2.56,74%,7%,67%,5%,65%,29%,85%,116%,-,-,-,-
methyl_p_methoxybenzoate,-14.78,9.52,-1.92,7.59,-7.19,-7.42,0.19,0.95,-7.00,-6.46,-5.33,14.78,9.52,1.92,7.59,7.19,7.42,0.19,0.95,7.00,6.46,5.33,64%,13%,51%,1%,97%,20%,108%,131%,-,-,-,-
methyl_propanoate,-10.81,7.85,-0.73,7.12,-3.69,-5.35,0.72,1.70,-2.98,-3.65,-2.93,10.81,7.85,0.73,7.12,3.69,5.35,0.72,1.70,2.98,3.65,2.93,73%,7%,66%,7%,69%,42%,81%,102%,-,-,-,-
methyl_t_butyl_ether,-4.64,2.09,-0.25,1.84,-2.80,-2.92,1.25,2.23,-1.55,-0.69,-2.21,4.64,2.09,0.25,1.84,2.80,2.92,1.25,2.23,1.55,0.69,2.21,45%,5%,40%,27%,96%,56%,225%,70%,-,-,-,-
methyl_trimethylacetate,-10.24,6.97,-0.59,6.38,-3.86,-5.33,0.88,2.03,-2.98,-3.30,-2.40,10.24,6.97,0.59,6.38,3.86,5.33,0.88,2.03,2.98,3.30,2.40,68%,6%,62%,9%,72%,44%,90%,124%,-,-,-,-
morpholine,-10.25,5.46,-1.62,3.85,-6.41,-6.46,0.25,0.35,-6.15,-6.12,-7.17,10.25,5.46,1.62,3.85,6.41,6.46,0.25,0.35,6.15,6.12,7.17,53%,16%,38%,2%,99%,73%,101%,86%,-,-,-,-
n_propyl_formate,-10.83,8.18,-0.94,7.24,-3.59,-5.30,0.39,1.60,-3.21,-3.70,-2.48,10.83,8.18,0.94,7.24,3.59,5.30,0.39,1.60,3.21,3.70,2.48,76%,9%,67%,4%,68%,24%,87%,129%,-,-,-,-
n_propyl_propanoate,-9.43,6.96,-0.65,6.31,-3.12,-4.65,0.82,2.20,-2.30,-2.45,-2.44,9.43,6.96,0.65,6.31,3.12,4.65,0.82,2.20,2.30,2.45,2.44,74%,7%,67%,9%,67%,37%,94%,94%,-,-,-,-
o_cresol,-8.97,5.35,-3.55,1.80,-7.17,-6.59,1.15,1.52,-6.03,-5.08,-5.90,8.97,5.35,3.55,1.80,7.17,6.59,1.15,1.52,6.03,5.08,5.90,60%,40%,20%,13%,109%,76%,119%,102%,-,-,-,-
o_toluidine,-7.72,3.90,-3.61,0.29,-7.43,-6.79,1.24,1.46,-6.19,-5.33,-5.53,7.72,3.90,3.61,0.29,7.43,6.79,1.24,1.46,6.19,5.33,5.53,51%,47%,4%,16%,109%,84%,116%,112%,-,-,-,-
o_xylene,-2.56,0.98,-0.86,0.12,-2.45,-2.94,1.49,2.09,-0.95,-0.85,-0.90,2.56,0.98,0.86,0.12,2.45,2.94,1.49,2.09,0.95,0.85,0.90,38%,34%,5%,58%,83%,71%,112%,106%,-,-,-,-
p_cresol,-9.47,5.95,-3.69,2.26,-7.22,-7.06,1.12,1.49,-6.10,-5.58,-6.13,9.47,5.95,3.69,2.26,7.22,7.06,1.12,1.49,6.10,5.58,6.13,63%,39%,24%,12%,102%,75%,109%,99%,-,-,-,-
pentanoic_acid,-16.69,11.41,-3.60,7.81,-8.88,-10.58,1.00,1.53,-7.88,-9.05,-6.16,16.69,11.41,3.60,7.81,8.88,10.58,1.00,1.53,7.88,9.05,6.16,68%,22%,47%,6%,84%,65%,87%,128%,-,-,-,-
phenanthrene,-5.93,2.28,-2.11,0.17,-5.76,-6.00,1.09,0.73,-4.67,-5.26,-3.88,5.93,2.28,2.11,0.17,5.76,6.00,1.09,0.73,4.67,5.26,3.88,38%,36%,3%,18%,96%,148%,89%,120%,-,-,-,-
phenol,-9.65,6.13,-3.84,2.29,-7.36,-7.01,1.15,1.30,-6.22,-5.71,-6.60,9.65,6.13,3.84,2.29,7.36,7.01,1.15,1.30,6.22,5.71,6.60,64%,40%,24%,12%,105%,88%,109%,94%,-,-,-,-
piperazine,-12.33,6.65,-2.43,4.22,-8.11,-8.63,-1.81,0.15,-9.92,-8.48,-7.40,12.33,6.65,2.43,4.22,8.11,8.63,1.81,0.15,9.92,8.48,7.40,54%,20%,34%,15%,94%,1214%,117%,134%,-,-,-,-
propane,-0.01,0.03,-0.04,-0.02,-0.02,0.01,1.74,2.48,1.72,2.49,2.00,0.01,0.03,0.04,0.02,0.02,0.01,1.74,2.48,1.72,2.49,2.00,293%,467%,174%,19363%,176%,70%,69%,86%,-,-,-,-
propanenitrile,-8.01,4.63,-0.60,4.03,-3.98,-3.73,1.12,1.24,-2.86,-2.49,-3.84,8.01,4.63,0.60,4.03,3.98,3.73,1.12,1.24,2.86,2.49,3.84,58%,8%,50%,14%,107%,90%,115%,74%,-,-,-,-
propanoic_acid,-16.25,11.32,-3.42,7.90,-8.35,-10.36,1.03,1.27,-7.32,-9.09,-6.46,16.25,11.32,3.42,7.90,8.35,10.36,1.03,1.27,7.32,9.09,6.46,70%,21%,49%,6%,81%,81%,81%,113%,-,-,-,-
propanone,-10.87,7.45,-0.56,6.89,-3.99,-5.49,0.83,1.98,-3.15,-3.51,-3.80,10.87,7.45,0.56,6.89,3.99,5.49,0.83,1.98,3.15,3.51,3.80,69%,5%,63%,8%,73%,42%,90%,83%,-,-,-,-
propene,-0.52,0.33,-0.35,-0.01,-0.53,-0.37,1.90,2.70,1.37,2.33,1.32,0.52,0.33,0.35,0.01,0.53,0.37,1.90,2.70,1.37,2.33,1.32,64%,67%,3%,366%,143%,70%,59%,104%,-,-,-,-
propionaldehyde,-9.61,6.72,-0.48,6.25,-3.37,-5.06,0.94,1.91,-2.43,-3.15,-3.43,9.61,6.72,0.48,6.25,3.37,5.06,0.94,1.91,2.43,3.15,3.43,70%,5%,65%,10%,67%,49%,77%,71%,-,-,-,-
propyne,-1.45,0.64,-0.54,0.10,-1.34,-0.82,2.11,0.88,0.77,0.07,-0.48,1.45,0.64,0.54,0.10,1.34,0.82,2.11,0.88,0.77,0.07,0.48,44%,37%,7%,146%,164%,239%,1181%,160%,-,-,-,-
p_toluidine,-7.78,4.12,-3.94,0.18,-7.60,-6.96,1.38,1.46,-6.22,-5.49,-5.57,7.78,4.12,3.94,0.18,7.60,6.96,1.38,1.46,6.22,5.49,5.57,53%,51%,2%,18%,109%,94%,113%,112%,-,-,-,-
p_xylene,-2.49,0.96,-0.83,0.13,-2.37,-2.92,1.58,2.26,-0.79,-0.66,-0.80,2.49,0.96,0.83,0.13,2.37,2.92,1.58,2.26,0.79,0.66,0.80,38%,33%,5%,63%,81%,70%,120%,99%,-,-,-,-
pyrene,-6.90,2.47,-2.28,0.19,-6.71,-6.84,0.81,0.05,-5.90,-6.79,-4.52,6.90,2.47,2.28,0.19,6.71,6.84,0.81,0.05,5.90,6.79,4.52,36%,33%,3%,12%,98%,1532%,87%,130%,-,-,-,-
pyridine,-8.47,4.01,-1.05,2.97,-5.50,-4.74,0.98,1.23,-4.52,-3.51,-4.69,8.47,4.01,1.05,2.97,5.50,4.74,0.98,1.23,4.52,3.51,4.69,47%,12%,35%,12%,116%,79%,129%,96%,-,-,-,-
tetrahydrofuran,-5.29,2.57,-0.39,2.17,-3.12,-3.22,1.11,1.01,-2.01,-2.20,-3.47,5.29,2.57,0.39,2.17,3.12,3.22,1.11,1.01,2.01,2.20,3.47,49%,7%,41%,21%,97%,109%,91%,58%,-,-,-,-
tetrahydropyran,-4.56,2.22,-0.34,1.88,-2.68,-2.83,1.00,1.02,-1.69,-1.81,-3.12,4.56,2.22,0.34,1.88,2.68,2.83,1.00,1.02,1.69,1.81,3.12,49%,8%,41%,22%,95%,97%,93%,54%,-,-,-,-
toluene,-2.63,1.09,-1.00,0.09,-2.55,-2.80,1.62,2.01,-0.92,-0.79,-0.90,2.63,1.09,1.00,0.09,2.55,2.80,1.62,2.01,0.92,0.79,0.90,41%,38%,3%,62%,91%,81%,117%,103%,-,-,-,-
trans_14_dimethylcyclohexane,0.10,0.05,-0.09,-0.05,0.05,0.02,1.13,1.90,1.18,1.92,2.11,0.10,0.05,0.09,0.05,0.05,0.02,1.13,1.90,1.18,1.92,2.11,45%,92%,47%,1113%,301%,59%,62%,56%,-,-,-,-
